X,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360,103 pts LE smooth of B,103 pts LE smooth of C,103 pts LE smooth of D,103 pts LE smooth of E,103 pts LE smooth of F,103 pts LE smooth of G,103 pts LE smooth of H,103 pts LE smooth of I,103 pts LE smooth of J,103 pts LE smooth of K,103 pts LE smooth of L,103 pts LE smooth of M,103 pts LE smooth of N,103 pts LW smooth of O,103 pts LE smooth of P,103 pts LE smooth of Q,103 pts LE smooth of R,103 pts LE smooth of S,103 pts LE smooth of T,103 pts LE smooth of U,103 pts LE smooth of V,103 pts LE smooth of W,103 pts LE smooth of X,103 pts LE smooth of Y,103 pts LE smooth of Z
669.392,756.375,752.75,759.125,753.125,759.25,760.875,762.375,757.938,760.75,762.25,756.063,759.125,757.5,756.125,752.75,757,758.125,756.75,759.25,759.063,753.25,759.375,753.25,758.75,753,755.75481218623,754.844151516336,755.765836533959,754.794175284028,756.818060370411,757.981806627356,759.055442569948,758.517123781682,758.54457595687,758.344125624218,756.40348582344,756.243741250843,755.708043595827,755.363422596815,754.459605541432,756.047928910462,757.218750574642,757.77790581585,759.030637290579,759.100410743653,756.359969312361,758.286652309905,756.359969312361,755.076420860127,755.075945885211
669.662,753.875,753.875,753.625,752.25,756,755.875,756.5,758.625,759.875,754.5,757.125,751,751.25,750.625,753.875,754.375,757.25,756.75,759,758.625,754.625,757.375,754.625,752.875,752.125,755.755359825186,754.826228369375,755.757170974269,754.787724997635,756.800714403656,757.956589423728,759.033717949905,758.459383718754,758.49401872633,758.302568144629,756.382996444502,756.216982987411,755.682332566196,755.402179683933,754.430358698603,756.053014808287,757.236002047159,757.760251805344,759.040685280306,759.122215018297,756.366806609924,758.322566923829,756.366806609924,755.042309749292,755.05549339687
669.931,750.5,752.25,754.875,754.125,755.875,757.125,755.875,757.25,757.5,756,754,752,753,749.375,753.25,755.875,756.375,754.5,758.25,758.625,754.375,756.75,754.375,754.875,750.625,755.755264578272,754.808473790469,755.747052703521,754.779074156623,756.77990735982,757.926833403343,759.007226813929,758.398765084848,758.441122705642,758.260190893673,756.361321466651,756.19058013985,755.657469097233,755.439741042212,754.40155113931,756.054720224462,757.247478672929,757.737917071205,759.044538848114,759.136881598185,756.372739100906,758.354336221677,756.372739100906,755.01170523238,755.036294543068
670.201,757.875,756.875,757.5,754.5,758.625,759.75,761.625,757.208,759,761.125,758.25,758.375,757.25,755.375,753.292,759.625,762.5,760,763.25,765,759.875,760.25,759.875,756.125,756.25,755.754514473196,754.790720763935,755.735439306668,754.768147625025,756.755519413659,757.892345140215,758.975813937871,758.334807533406,758.38550842701,758.216711945808,756.338316828468,756.164357793939,755.633284068717,755.476355037631,754.372919725537,756.05310174134,757.253312521429,757.710792125671,759.042270436296,759.144552561929,756.377831027748,758.382244359536,756.377831027748,754.984469622821,755.01818650134
670.471,770.5,756,770.5,754.875,767.875,771,772,757.167,758.75,771.5,758.063,769.375,769.25,755,753.333,766.5,773.625,772.125,773.625,763.438,758.5,772.125,758.5,771.875,756.313,755.753103963435,754.773002945612,755.72240013741,754.754961040283,756.727655349486,757.853254702306,758.939616108732,758.267719678637,758.327379480846,758.172326365827,756.314079414831,756.138444012071,755.609894946553,755.511856837633,754.344521386101,756.048190665906,757.253493915762,757.679013666419,759.033895984159,759.145186363808,756.382085061509,758.406218328838,756.382085061509,754.960811342119,755.001232311008
670.74,754.75,755.125,756.625,755.25,757.125,757.75,758.5,757.125,758.5,756.5,757.875,754.5,755.5,754.625,753.375,755.5,755.25,756.75,756.625,761.875,757.125,758.75,757.125,755.125,756.375,755.751030615659,754.755350922965,755.708017576871,754.739560632812,756.696462241934,757.809751453402,758.898834309749,758.197755778539,758.266972717685,758.127236840788,756.28872075974,756.112957173533,755.587404540798,755.546101191251,754.316408678252,756.04005733341,757.248079289356,757.642781110859,759.019507439203,759.13882807236,756.385515312753,758.426238297062,756.385515312753,754.940873733775,754.985481205963
671.01,755.375,757,757.25,755.125,759,759.75,759.625,760.625,758.813,760.125,754.375,757.125,756.75,755.25,757.25,757.125,761.5,762.25,760.125,761.25,759.125,760,759.125,757,758,755.74824229528,754.737595667031,755.692183819063,754.721812664704,756.661709469052,757.761505918872,758.853183087523,758.124383513782,758.203841675421,758.081120610825,756.262061295048,756.087710621391,755.565646291944,755.579325333386,754.288320760252,756.028654510342,757.237019274102,757.601856782237,758.998994965445,759.125418076674,756.388171301205,758.442477964724,756.388171301205,754.924548761508,754.970809978133
671.28,754.375,753.625,753.5,754,755.875,755.875,761.25,756.75,759.125,756,759.625,757.375,753.875,753.875,755,753.625,755.5,758.75,756.5,760.5,756.375,758.375,756.375,755,753.125,755.744699336294,754.719763007271,755.674933362574,754.701745566536,756.623492934198,757.708651600443,758.802812927991,758.047843038927,758.138203230943,758.034149830906,756.234196423473,756.062795837811,755.54469892631,755.611385984197,754.260309210934,756.014009276319,757.22029606365,757.556386858493,758.972384594286,759.104933354798,756.390062824103,758.454869908664,756.390062824103,754.911934104837,754.957273124245
671.549,756.125,753.563,757,757,757.25,758.875,759.875,760.375,759.375,759.25,757.563,755.5,753.125,755.625,752.75,758.375,756.875,756.875,759.125,758.5,758.5,758.875,758.5,759.125,751.813,755.740369549759,754.701876840642,755.656310150632,754.679416654996,756.58194499102,757.651378368404,758.74793515768,757.96841449448,758.070303813252,757.98650370688,756.205236557432,756.038293386748,755.524626026324,755.642161121128,754.23241778481,755.996187932541,757.197954110758,757.50656875666,758.939780217138,759.077432765628,756.391208743268,758.463395121521,756.391208743268,754.90304851764,754.944907061816
671.819,754.375,753.5,751.5,754.875,756,756.375,757.875,758.75,756.25,756.25,755.5,756.625,753.625,754.125,753.5,752.875,753.875,756,757.75,758.5,757.75,757.375,757.75,753.125,750.5,755.735168706113,754.68376414785,755.636139674475,754.654624509886,756.536715178808,757.589220225437,758.688126374962,757.885481833435,757.999617735281,757.937826478753,756.174955917228,756.014003423003,755.505270712836,755.671875559237,754.204375587016,755.975045310276,757.169760921968,757.452021115765,758.900900577015,759.042631047,756.391639478352,758.468114556414,756.391639478352,754.897789571789,754.933619805107
