2380 f  =    0.369507 THz     2.321684 2PiTHz   12.325443 cm-1     1.528159 meV
             X         Y         Z           dx          dy          dz
      3.663439 21.938394  5.322615     0.000169    0.000458    0.017069
      6.380918 20.361839  2.171552     0.000503   -0.001122    0.018480
      6.379133 20.365536  5.328827    -0.000028    0.000285    0.018594
      9.097624 18.792918  2.175249     0.000236   -0.000395    0.019501
      9.096626 18.793581  5.331409    -0.000043    0.000093    0.019644
     11.815671 17.223749  2.175805    -0.000446   -0.000003    0.019503
     11.815636 17.224039  5.332205     0.000114    0.000005    0.019645
     14.532421 15.655388  2.173312    -0.001214   -0.000136    0.018480
     14.535677 15.656644  5.331052     0.000279    0.000116    0.018593
     17.247293 14.088765  2.166970    -0.001828   -0.000752    0.016996
     17.256107 14.091133  5.325653     0.000335    0.000376    0.017055
     19.962655 12.522695  2.157602    -0.002183   -0.001658    0.015615
     19.974874 12.526497  5.316588     0.000376    0.000674    0.015587
     22.679556 10.956137  2.148673    -0.002149   -0.002506    0.014647
     22.690782 10.962057  5.307809     0.000459    0.000864    0.014570
     25.397485  9.387919  2.144268    -0.001749   -0.003047    0.014296
     25.403851  9.396819  5.303380     0.000525    0.000905    0.014207
     28.114716  7.818505  2.146481    -0.001078   -0.003116    0.014659
     28.115634  7.829903  5.305822     0.000521    0.000819    0.014583
      0.951698 26.636074  2.140115    -0.000053   -0.002922    0.011928
      0.948650 26.647059  5.301201     0.000232    0.000785    0.011815
      3.666518 25.066492  2.151173     0.000738   -0.002545    0.014092
      3.661063 25.077509  5.311298    -0.000015    0.000591    0.014022
      6.381360 23.497951  2.163208     0.001029   -0.001780    0.016483
      6.376095 23.505687  5.322092    -0.000203    0.000376    0.016548
      9.097502 21.930111  2.172189     0.000729   -0.000993    0.018475
      9.094187 21.932804  5.329382    -0.000216    0.000179    0.018588
     11.815084 20.361445  2.175472    -0.000149   -0.000272    0.019258
     11.814274 20.361147  5.332301     0.000002   -0.000012    0.019401
     14.532466 18.792141  2.173087    -0.001216    0.000127    0.018469
     14.535740 18.791510  5.330638     0.000280   -0.000104    0.018582
     17.247922 17.223885  2.165197    -0.002048   -0.000005    0.016460
     17.256958 17.224218  5.324076     0.000449    0.000006    0.016527
     19.963511 15.656935  2.153607    -0.002566   -0.000643    0.014057
     19.976211 15.658534  5.313756     0.000538    0.000276    0.013986
     22.679739 14.090657  2.142304    -0.002491   -0.001525    0.011895
     22.691988 14.093895  5.303075     0.000569    0.000592    0.011779
     25.396859 12.523803  2.135097    -0.001916   -0.002322    0.010661
     25.404785 12.529307  5.295952     0.000543    0.000809    0.010543
     28.113619 10.955502  2.134168    -0.001029   -0.002829    0.010674
     28.115696 10.963947  5.295395     0.000428    0.000874    0.010557
      0.950258 29.772145  2.129680     0.000246   -0.002167    0.008367
      0.947872 29.779348  5.291627     0.000032    0.000654    0.008278
      3.665324 28.202758  2.138563     0.001303   -0.002258    0.010831
      3.658986 28.212266  5.300019    -0.000294    0.000538    0.010723
      6.380740 26.633459  2.151979     0.001836   -0.001909    0.014079
      6.372657 26.642950  5.312062    -0.000484    0.000324    0.014008
      9.096894 25.064908  2.165436     0.001563   -0.001214    0.016992
      9.089982 25.071201  5.323959    -0.000467    0.000096    0.017052
     11.813981 23.496971  2.173856     0.000630   -0.000407    0.018709
     11.810845 23.498621  5.331551    -0.000257   -0.000099    0.018862
     14.531100 21.928142  2.174153    -0.000660    0.000337    0.018705
     14.533565 21.926851  5.331951     0.000057   -0.000279    0.018857
     17.247339 20.359078  2.166250    -0.001829    0.000744    0.016974
     17.256128 20.357232  5.325068     0.000334   -0.000365    0.017034
     19.963470 18.790837  2.153327    -0.002566    0.000633    0.014047
     19.976089 18.789765  5.313439     0.000536   -0.000268    0.013976
     22.679902 17.223961  2.140056    -0.002599   -0.000005    0.010792
     22.692363 17.224187  5.301118     0.000618    0.000004    0.010682
     25.396462 15.657474  2.130420    -0.001984   -0.000880    0.008341
     25.404978 15.659331  5.292241     0.000542    0.000350    0.008250
     28.112679 14.090461  2.126815    -0.000948   -0.001666    0.007470
     28.115693 14.094649  5.289053     0.000340    0.000597    0.007385
      0.949210 32.906746  2.124412     0.000455   -0.000791    0.006227
      0.947529 32.909223  5.287003    -0.000138    0.000257    0.006146
      3.663824 31.338512  2.130332     0.001752   -0.001290    0.008356
      3.657733 31.343836  5.292160    -0.000564    0.000309    0.008265
      6.379027 29.769161  2.141761     0.002559   -0.001405    0.011905
      6.369900 29.776828  5.302524    -0.000781    0.000203    0.011791
      9.095549 28.199753  2.156539     0.002521   -0.001066    0.015611
      9.085893 28.207482  5.315633    -0.000750   -0.000014    0.015582
     11.812442 26.630934  2.169171     0.001615   -0.000378    0.018250
     11.806125 26.636067  5.327224    -0.000533   -0.000226    0.018367
     14.529300 25.062468  2.174380     0.000250    0.000434    0.019151
     14.529664 25.063450  5.331939    -0.000234   -0.000416    0.019369
     17.245765 23.493785  2.169364    -0.001135    0.001210    0.018237
     17.253509 23.491544  5.327333     0.000080   -0.000581    0.018355
     19.962811 21.925037  2.156709    -0.002183    0.001652    0.015587
     19.974882 21.921662  5.315843     0.000370   -0.000665    0.015558
     22.679779 20.357175  2.141835    -0.002492    0.001518    0.011877
     22.691929 20.354358  5.302515     0.000566   -0.000586    0.011763
     25.396615 18.790192  2.130119    -0.001984    0.000873    0.008334
     25.405043 18.788656  5.292159     0.000540   -0.000343    0.008243
     28.112245 17.223858  2.124616    -0.000904   -0.000002    0.006217
     28.115603 17.223983  5.286736     0.000280    0.000007    0.006140
      1.852362 -0.026024  3.703730     0.000541    0.000010    0.010607
      4.564444 -1.592564  3.709405     0.001274   -0.000418    0.014659
      7.278781 -3.159905  3.720619     0.001754   -0.000708    0.021124
      9.995390 -4.728556  3.734744     0.001656   -0.000739    0.027859
     12.714393 -6.298545  3.746889     0.000984   -0.000431    0.032657
